year,seed_area,irri_area,mach_power,fert_amount,food_output
1978,150104,44965.3,11749.9,884,30476.5
1980,146379,44888.1,14745.7,1269.4,32055.5
1985,143626,44035.9,20912.5,1775.8,37910.8
1986,144204,,22950,,
1987,144957,,24836,,
1988,144869,,26575,,
1989,146554,,28067,,
1990,148362,47403.1,28707.7,2590.3,44624.3
1991,149586,47822.1,29388.6,2805.1,43529.3
1992,149007,48590.1,30308.4,2930.2,44265.8
1993,147741,48727.9,31816.6,3151.9,45648.8
1994,148241,48759.1,33802.5,3317.9,44510.1
1995,149879,49281.2,36118.1,3593.7,46661.8
1996,152381,50381.4,38546.9,3827.9,50453.5
1997,153969,51238.5,42015.6,3980.7,49417.1
1998,155706,52259.6,45207.7,4085.6,51229.53
1999,156372.8,53158.41,48996.12,4124.32,50838.6
2000,156299.846,53820.33,52573.6063,4146.4122,46217.5
2001,155707.8615,54249.39107,55172.1,4253.7634,45263.7
2002,154635.5134,54354.8,57929.85,4339.39,45705.8
2003,152414.9623,54014.23,60386.541,4411.5603,43069.52616
2004,153552.5454,54478.42,64027.91,4636.58,46946.9494
2005,155487.7289,55029.339,68397.8486,4766.2183,48402.19049
2006,152149,55750.4959,72522.1234,4927.6928,49804.22702
2007,153463.9305,56518.34267,76589.56346,5107.83205,50160.27721
2008,156265.6989,58471.68039,82190.4132,5239.022745,52870.91574
2009,158613.5498,59261.4,87496.1,5404.4,53082.07765
2010,160674.8135,60347.698,92780.4757,5561.679966,54647.712
2011,162283.2204,61681.5613,97734.65852,5704.235647,57120.84906
2012,163415.6704,62490.52401,102558.96,5838.84898,58957.96606
2013,164626.9293,63473.30374,103906.7505,5911.863706,60193.84003
2014,165446,64539.5,108056.6,5995.9,60702.6
2015,166374,65872.6,111728.1,6022.6,62143.9
2016,166650,67140.6,97245.6,5984.1,61625